gene,old_mean_log1p_CP10K,new_mean_log1p_CP10K,delta_new_minus_old,old_total,new_total,abs_delta
OTUD1,0.053432014,0.0,-0.053432014,100.0,0.0,0.053432014
COASY,0.26794878,0.3212354,0.053286612,459.0,948.0,0.053286612
IER2,1.1988553,1.2521048,0.05324948,4136.0,7102.0,0.05324948
KHK,0.2723402,0.32556918,0.053228974,509.0,1243.0,0.053228974
CMTM7,0.0843226,0.031098057,-0.053224545,126.0,53.0,0.053224545
GPRC5A,0.22702132,0.17389639,-0.053124934,483.0,754.0,0.053124934
RERE,0.21750858,0.16442038,-0.053088203,345.0,353.0,0.053088203
SFT2D1,0.57850146,0.63147885,0.052977383,1179.0,2179.0,0.052977383
DDX27,0.35786036,0.4108131,0.052952737,642.0,1338.0,0.052952737
MARS2,0.052941047,0.0,-0.052941047,91.0,0.0,0.052941047
LAGE3,0.33130693,0.38422528,0.052918345,646.0,1281.0,0.052918345
GOLGA7,0.37928757,0.43178648,0.052498907,665.0,1241.0,0.052498907
SVBP,0.2906243,0.3430425,0.052418202,500.0,895.0,0.052418202
ZNF638,0.35310563,0.3007186,-0.05238703,613.0,800.0,0.05238703
HSPB1,1.1323758,1.0801921,-0.052183747,3083.0,4781.0,0.052183747
TMSB4X,3.1587696,3.2109406,0.052170992,27285.0,42240.0,0.052170992
RAD51,0.0052325386,0.057382442,0.052149903,8.0,168.0,0.052149903
UBA1,0.24522807,0.29732436,0.052096292,434.0,882.0,0.052096292
SNX32,0.015320055,0.067382075,0.05206202,20.0,80.0,0.05206202
STX8,0.24289973,0.29493058,0.052030846,409.0,903.0,0.052030846
PNKP,0.2217646,0.16987042,-0.051894173,367.0,470.0,0.051894173
PNPLA4,0.22994283,0.28183287,0.051890045,412.0,836.0,0.051890045
NIP7,0.28780413,0.33959478,0.051790655,493.0,1088.0,0.051790655
PLBD1-AS1,0.0010014111,0.052732896,0.051731486,2.0,39.0,0.051731486
ARID3A,0.72393835,0.77564186,0.051703513,1486.0,2411.0,0.051703513
SNHG25,0.5925787,0.64426696,0.051688254,1301.0,2700.0,0.051688254
PLA2R1,0.075413205,0.0237515,-0.051661707,123.0,64.0,0.051661707
GNL2,0.26672015,0.31833673,0.05161658,452.0,912.0,0.05161658
CSNK1E,0.18044873,0.12893341,-0.05151531,287.0,264.0,0.05151531
NSF,0.051409923,0.0,-0.051409923,78.0,0.0,0.051409923
DNTTIP1,0.27233613,0.3237419,0.051405787,467.0,914.0,0.051405787
HBA2,0.29331815,0.3446695,0.05135134,587.0,982.0,0.05135134
ARMCX3,0.4046055,0.4558597,0.051254183,696.0,1287.0,0.051254183
RPH3AL,0.07111238,0.019870639,-0.05124174,113.0,39.0,0.05124174
PSMD1,0.3158281,0.36695558,0.051127464,591.0,1208.0,0.051127464
DUT,0.72246903,0.7735951,0.051126063,1653.0,2660.0,0.051126063
NRBP1,0.27313107,0.32425153,0.05112046,455.0,947.0,0.05112046
SRSF9,0.5669128,0.5158495,-0.0510633,1193.0,1002.0,0.0510633
S100A13,0.3618157,0.41276252,0.05094683,665.0,1274.0,0.05094683
PPP2R5C,0.19455127,0.14365727,-0.050894007,330.0,352.0,0.050894007
