,category,gene_program,p_h0,p_h1,log_bayes_factor
39,5,RARRES2_combined_GP,0.013869472126394871,0.9861305278736051,-4.264098552037337
40,5,AREG_combined_GP,0.9854782144492886,0.014521785550711375,4.217477046543268
41,5,CEACAM5_combined_GP,0.9848607594790941,0.015139240520905872,4.17521018717332
42,5,CCL20_combined_GP,0.01532795672977243,0.9846720432702276,-4.162630236401422
43,5,HHLA2_combined_GP,0.9845138888094794,0.015486111190520568,4.15220443538551
44,0,Add-on_35_GP,0.9844377232839161,0.0155622767160839,4.147220812251265
45,5,CEACAM7_ligand_receptor_target_gene_GP,0.01575720265571976,0.9842427973442802,-4.134575039610888
46,14,IGFBP7_combined_GP,0.9827672801451068,0.017232719854893164,4.043562453699621
47,5,BMP4_combined_GP,0.9822450652571033,0.01775493474289669,4.013177343486111
48,3,TPSG1_ligand_receptor_target_gene_GP,0.018603368748224734,0.9813966312517752,-3.9656340111870167
49,0,TNC_combined_GP,0.9813808461977176,0.018619153802282407,3.964769781416051
50,8,Add-on_18_GP,0.9808143027703605,0.019185697229639476,3.9342180823090604
51,0,HHLA2_combined_GP,0.019409437750899535,0.9805905622491005,-3.922395574874379
52,5,COL5A2_ligand_receptor_target_gene_GP,0.9801539303562078,0.019846069643792208,3.8997036463763926
53,5,SLC6A8_combined_GP,0.9798680996037172,0.020131900396282765,3.885112328946787
54,5,LEFTY1_combined_GP,0.021150520663570538,0.9788494793364295,-3.8347133584104225
55,14,VWF_combined_GP,0.021874544498302406,0.9781254555016976,-3.8003143302802225
56,0,INHBA_combined_GP,0.02218599590576664,0.9778140040942334,-3.7858581972663887
57,5,IGFBP7_combined_GP,0.9774680273689174,0.022531972631082642,3.770030276344296
58,0,Add-on_70_GP,0.023492804773172844,0.9765071952268272,-3.7272879242293895
59,6,CD6_combined_GP,0.976439586367857,0.023560413632143007,3.72434496567076
60,14,APOB_combined_GP,0.023642968203681964,0.976357031796318,-3.7207625875584407
61,14,CXCL2_combined_GP,0.9761766606731215,0.023823339326878523,3.7129778306340593
62,13,GREM1_combined_GP,0.024333260462638076,0.9756667395373619,-3.691276914882117
63,6,CCL13_combined_GP,0.024862374416127483,0.9751376255838725,-3.669223022411113
64,14,NRXN1_ligand_receptor_target_gene_GP,0.027074555404114926,0.972925444595885,-3.5817130831036175
65,14,BMP4_combined_GP,0.9726784739445397,0.027321526055460343,3.5723786876967867
66,5,CD177_ligand_receptor_GP,0.9721487271447531,0.02785127285524691,3.5526301348988025
67,5,LAMA2_combined_GP,0.9719860039501065,0.02801399604989352,3.5466371608817
68,0,NRG3_combined_GP,0.9713695938982216,0.02863040610177836,3.5242377245748577
69,14,INSL5_combined_GP,0.030338950405344844,0.9696610495946552,-3.4645141980882914
70,5,COL17A1_combined_GP,0.9691784277057935,0.030821572294206456,3.4482338868506557
71,5,ANPEP_ligand_receptor_target_gene_GP,0.9691004042702068,0.030899595729793172,3.4456251222296514
72,14,SELL_ligand_receptor_target_gene_GP,0.9689780611803762,0.031021938819623784,3.441547312882843
73,0,CEACAM5_combined_GP,0.03200914173767121,0.9679908582623288,-3.409201101954509
74,5,Add-on_35_GP,0.03460843560318362,0.9653915643968164,-3.3284363293159562
75,11,COMPLEX:PNMT_SLC18A2_ligand_receptor_GP,0.9648106251123459,0.03518937488765406,3.3111876513907714
76,15,CCL20_combined_GP,0.03612033118347636,0.9638796688165236,-3.2841105644289987
77,7,Add-on_13_GP,0.9628233134183963,0.03717668658160367,3.2541880597540547
78,5,NRXN1_ligand_receptor_target_gene_GP,0.039075274257331344,0.9609247257426686,-3.2024061817613476
79,14,CCL11_combined_GP,0.039145916386684465,0.9608540836133155,-3.2005264492028007
80,5,NID1_combined_GP,0.9583301666250827,0.04166983337491725,3.135414913399433
81,3,SFRP2_combined_GP,0.04175423614089042,0.9582457638591095,-3.1333033729204884
82,10,Add-on_26_GP,0.04302878992668369,0.9569712100733163,-3.101903882625376
83,11,Add-on_98_GP,0.9565762022475439,0.043423797752456084,3.0923528273461796
